,Trial #,# of Topics,Topic #,Top Words,Label(s),Interpretability,Related or Similar to,Notes
0,Trial #1,3,1,"life, woman, new, mean, help, love, money, old, number, tell, change, big, body, long, today, friend, easy, level, sure, learn, hair, hard, build, stop, point",,,,
1,Trial #1,3,2,"wear, shirt, style, jacket, color, dress, fit, shoe, suit, casual, outfit, pair, black, pants, boot, leather, sweater, nice, white, love, short, sneaker, different, jeans, button",,,,
2,Trial #1,3,3,"hair, fragrance, skin, face, wear, body, smell, product, scent, long, wash, check, number, sure, help, apply, oil, clean, love, step, recommend, easy, eye, note, style",,,,
3,Trial #2,4,1,"life, woman, help, new, mean, love, number, tell, old, money, change, body, friend, today, level, learn, big, long, easy, girl, hard, stop, build, relationship, sure",,,,
4,Trial #2,4,2,"fragrance, jacket, wear, shirt, suit, style, winter, casual, scent, classic, love, dress, warm, number, different, tie, color, note, definitely, coat, check, outfit, wool, fabric, sweater",,,,
5,Trial #2,4,3,"hair, skin, face, fragrance, body, product, smell, wash, long, apply, number, help, oil, sure, beard, step, clean, eye, bad, water, dry, wear, hairstyle, easy, check",,,,
6,Trial #2,4,4,"wear, shirt, style, color, shoe, fit, dress, jacket, pair, outfit, casual, pants, suit, boot, black, nice, leather, short, sneaker, love, brand, long, jeans, different, sweater",,,,
7,Trial #3,5,1,"life, woman, help, mean, new, love, tell, number, old, change, friend, body, learn, today, level, money, girl, easy, stop, big, relationship, hard, long, self, goal",,,,
8,Trial #3,5,2,"fragrance, scent, smell, wear, note, love, cologne, check, definitely, warm, fresh, different, suit, recommend, bottle, number, list, new, classic, base, woody, masculine, nice, light, style",,,,
9,Trial #3,5,3,"hair, skin, face, body, product, wash, number, apply, help, oil, long, beard, sure, step, eye, bad, water, routine, dry, second, clean, type, tooth, skincare, area",,,,
10,Trial #3,5,4,"wear, style, shoe, fit, brand, love, old, long, money, big, new, small, quality, nice, high, pretty, cool, sure, shirt, leather, different, super, size, belt, mean",,,,
11,Trial #3,5,5,"wear, shirt, jacket, color, style, dress, casual, fit, shoe, pair, outfit, suit, boot, black, sweater, pants, white, short, brown, button, jeans, sneaker, nice, polo, different",,,,
12,Trial #4,6,1,"car, love, mean, somebody, woman, big, new, dude, super, amazing, wear, tell, basically, pretty, nice, okay, point, date, cool, stuff, long, hair, different, today, sort",,,,
13,Trial #4,6,2,"style, suit, winter, scent, definitely, classic, warm, number, choice, jacket, tie, fragrance, check, list, cologne, recommend, wear, love, shirt, casual, coat, add, note, choose, tuxedo",,,,
14,Trial #4,6,3,"fragrance, smell, wear, scent, love, note, skin, body, check, house, spray, different, long, room, bottle, compliment, cologne, razor, clean, cool, fresh, number, recommend, second, light",,,,
15,Trial #4,6,4,"wear, style, shoe, fit, brand, long, old, money, quality, hair, love, shirt, small, big, high, new, nice, leather, belt, dress, sure, size, pretty, different, outfit",,,,
16,Trial #4,6,5,"wear, shirt, jacket, color, dress, style, casual, fit, pair, shoe, outfit, suit, boot, black, sweater, pants, white, short, brown, button, jeans, polo, sneaker, dark, nice",,,,
17,Trial #4,6,6,"life, hair, skin, woman, help, face, body, number, old, mean, change, new, level, easy, tell, learn, step, friend, stop, sure, today, long, bad, product, confidence",,,,
18,Trial #5,7,1,"woman, car, somebody, mean, love, girl, dude, big, super, tell, date, wear, basically, amazing, point, attractive, new, pretty, help, reason, sexy, different, long, hair, number",,,,
19,Trial #5,7,2,"style, suit, shirt, classic, jacket, casual, winter, definitely, tie, dress, wear, number, warm, coat, scent, choice, pair, check, piece, list, add, recommend, wardrobe, outfit, love",,,,
20,Trial #5,7,3,"skin, face, hair, body, wear, shirt, fragrance, apply, smell, wash, number, eye, clean, second, step, long, oil, razor, check, tooth, area, shave, shower, bad, water",,,,
21,Trial #5,7,4,"wear, style, fit, shoe, brand, long, hair, old, money, quality, small, shirt, love, big, new, high, belt, leather, dress, nice, sure, pretty, size, different, mean",,,,
22,Trial #5,7,5,"wear, shirt, jacket, color, dress, shoe, style, fit, pair, outfit, casual, boot, sweater, black, suit, pants, short, brown, sneaker, white, polo, jeans, button, nice, dark",,,,
23,Trial #5,7,6,"life, hair, woman, help, skin, body, number, face, old, new, change, mean, level, learn, easy, tell, friend, stop, today, step, sure, long, goal, important, money",,,,
24,Trial #5,7,7,"fragrance, love, smell, wear, new, note, house, wine, scent, different, nice, bottle, cool, mean, beautiful, pretty, brand, absolutely, big, room, amazing, tell, light, place, today",,,,
25,Trial #6,8,1,"hair, woman, car, somebody, long, dude, mean, hairstyle, super, style, big, amazing, girl, wear, love, basically, beard, date, attractive, face, sexy, product, sure, tell, different",,,,
